"Iteration","Interaction","TrueBeta","Detected"
30,"ASC2_male",0,0
30,"ASC3_age",-0.5,0
30,"cost_income",0.3,0
30,"prot25_child",0,0
30,"prot50_child",0.4,0
30,"invasive_child",0,0
31,"ASC2_male",0.3,0
31,"ASC3_age",0,0
31,"cost_income",0,0
31,"prot25_child",0,0
31,"prot50_child",0.5,0
31,"invasive_child",-0.5,0
32,"ASC2_male",0.4,0
32,"ASC3_age",0,0
32,"cost_income",-0.5,0
32,"prot25_child",0,0
32,"prot50_child",0,0
32,"invasive_child",0.5,0
33,"ASC2_male",-0.4,0
33,"ASC3_age",0,0
33,"cost_income",0,0
33,"prot25_child",0,0
33,"prot50_child",-0.4,0
33,"invasive_child",-0.5,0
34,"ASC2_male",0.5,0
34,"ASC3_age",0.4,0
34,"cost_income",0,0
34,"prot25_child",0,0
34,"prot50_child",0,0
34,"invasive_child",0.3,0
35,"ASC2_male",0,0
35,"ASC3_age",-0.2,0
35,"cost_income",-0.3,0
35,"prot25_child",0.3,0
35,"prot50_child",0,0
35,"invasive_child",0,0
36,"ASC2_male",0.4,0
36,"ASC3_age",0.4,0
36,"cost_income",-0.4,0
36,"prot25_child",0,0
36,"prot50_child",0,0
36,"invasive_child",0,0
37,"ASC2_male",-0.3,0
37,"ASC3_age",0,0
37,"cost_income",0.3,0
37,"prot25_child",-0.2,0
37,"prot50_child",0,0
37,"invasive_child",0,0
38,"ASC2_male",0.4,0
38,"ASC3_age",0.5,0
38,"cost_income",0,0
38,"prot25_child",0,0
38,"prot50_child",0.5,0
38,"invasive_child",0,0
39,"ASC2_male",0.5,0
39,"ASC3_age",0.3,0
39,"cost_income",0,0
39,"prot25_child",0,0
39,"prot50_child",-0.5,0
39,"invasive_child",0,0
40,"ASC2_male",0,0
40,"ASC3_age",0,0
40,"cost_income",-0.5,0
40,"prot25_child",0,0
40,"prot50_child",0.5,0
40,"invasive_child",0.3,1
41,"ASC2_male",0,0
41,"ASC3_age",0.5,0
41,"cost_income",0,0
41,"prot25_child",-0.3,0
41,"prot50_child",0,0
41,"invasive_child",0.4,0
42,"ASC2_male",0,0
42,"ASC3_age",0.5,0
42,"cost_income",0,0
42,"prot25_child",-0.4,0
42,"prot50_child",0,0
42,"invasive_child",0.5,0
43,"ASC2_male",0,0
43,"ASC3_age",-0.3,0
43,"cost_income",0.5,1
43,"prot25_child",0,0
43,"prot50_child",0.5,1
43,"invasive_child",0,0
44,"ASC2_male",0.3,0
44,"ASC3_age",0,0
44,"cost_income",0,0
44,"prot25_child",0,0
44,"prot50_child",-0.6,0
44,"invasive_child",-0.3,0
45,"ASC2_male",0,0
45,"ASC3_age",0,0
45,"cost_income",0.3,0
45,"prot25_child",0.4,0
45,"prot50_child",-0.5,0
45,"invasive_child",0,0
46,"ASC2_male",0.5,0
46,"ASC3_age",0.5,0
46,"cost_income",-0.2,0
46,"prot25_child",0,0
46,"prot50_child",0,0
46,"invasive_child",0,0
47,"ASC2_male",-0.5,0
47,"ASC3_age",-0.2,0
47,"cost_income",0,0
47,"prot25_child",0.6,0
47,"prot50_child",0,0
47,"invasive_child",0,0
48,"ASC2_male",-0.2,0
48,"ASC3_age",0,0
48,"cost_income",0,0
48,"prot25_child",0.3,0
48,"prot50_child",-0.5,0
48,"invasive_child",0,0
49,"ASC2_male",0,0
49,"ASC3_age",0,0
49,"cost_income",0.5,0
49,"prot25_child",-0.2,0
49,"prot50_child",0,0
49,"invasive_child",0.4,0
50,"ASC2_male",-0.3,0
50,"ASC3_age",-0.4,0
50,"cost_income",0,0
50,"prot25_child",0,0
50,"prot50_child",0.3,0
50,"invasive_child",0,0
