"Alpha","Iteration","Interaction","TrueBeta","Detected"
1,64,"invasive_child",0.7,1
1,65,"ASC2_male",0,0
1,65,"ASC3_age",-0.8,1
1,65,"cost_income",1.1,0
1,65,"prot25_child",0,0
1,65,"prot50_child",0,1
1,65,"invasive_child",0.7,1
1,66,"ASC2_male",1.1,0
1,66,"ASC3_age",0.8,0
1,66,"cost_income",1,1
1,66,"prot25_child",0,0
1,66,"prot50_child",0,1
1,66,"invasive_child",0,0
1,67,"ASC2_male",0,0
1,67,"ASC3_age",0,0
1,67,"cost_income",0.8,0
1,67,"prot25_child",-0.5,0
1,67,"prot50_child",0,0
1,67,"invasive_child",-0.9,0
1,68,"ASC2_male",0.9,0
1,68,"ASC3_age",0,1
1,68,"cost_income",0,1
1,68,"prot25_child",-0.9,0
1,68,"prot50_child",-0.7,1
1,68,"invasive_child",0,1
1,69,"ASC2_male",0.4,1
1,69,"ASC3_age",-0.5,0
1,69,"cost_income",0,0
1,69,"prot25_child",0,1
1,69,"prot50_child",-0.5,1
1,69,"invasive_child",0,0
1,70,"ASC2_male",0,1
1,70,"ASC3_age",0,0
1,70,"cost_income",1.1,1
1,70,"prot25_child",1.2,1
1,70,"prot50_child",0.8,1
1,70,"invasive_child",0,1
1,71,"ASC2_male",-0.6,0
1,71,"ASC3_age",0,0
1,71,"cost_income",0,1
1,71,"prot25_child",0,0
1,71,"prot50_child",-1.1,1
1,71,"invasive_child",-0.7,0
1,72,"ASC2_male",0,1
1,72,"ASC3_age",1.1,0
1,72,"cost_income",-0.6,0
1,72,"prot25_child",0,0
1,72,"prot50_child",0.7,1
1,72,"invasive_child",0,1
1,73,"ASC2_male",1,0
1,73,"ASC3_age",1.1,1
1,73,"cost_income",0,1
1,73,"prot25_child",0,0
1,73,"prot50_child",1.1,1
1,73,"invasive_child",0,1
1,74,"ASC2_male",-1.1,0
1,74,"ASC3_age",-1,0
1,74,"cost_income",0,0
1,74,"prot25_child",0,0
1,74,"prot50_child",0,1
1,74,"invasive_child",0.5,0
1,75,"ASC2_male",0,0
1,75,"ASC3_age",-0.5,0
1,75,"cost_income",-0.4,1
1,75,"prot25_child",0,0
1,75,"prot50_child",-0.9,0
1,75,"invasive_child",0,0
1,76,"ASC2_male",-0.8,0
1,76,"ASC3_age",0,0
1,76,"cost_income",0,0
1,76,"prot25_child",-1,1
1,76,"prot50_child",0,0
1,76,"invasive_child",-0.6,0
1,77,"ASC2_male",-1,0
1,77,"ASC3_age",0,1
1,77,"cost_income",-0.9,1
1,77,"prot25_child",1.1,0
1,77,"prot50_child",0,1
1,77,"invasive_child",0,0
1,78,"ASC2_male",-0.9,1
1,78,"ASC3_age",0,1
1,78,"cost_income",0.7,1
1,78,"prot25_child",-0.7,1
1,78,"prot50_child",0,0
1,78,"invasive_child",0,0
1,79,"ASC2_male",0,0
1,79,"ASC3_age",0.9,1
1,79,"cost_income",0.6,0
1,79,"prot25_child",0,1
1,79,"prot50_child",0,1
1,79,"invasive_child",0.7,0
1,80,"ASC2_male",0,0
1,80,"ASC3_age",0,1
1,80,"cost_income",-1.2,0
1,80,"prot25_child",0,1
1,80,"prot50_child",-1,0
1,80,"invasive_child",1,1
1,81,"ASC2_male",0,0
1,81,"ASC3_age",-0.4,1
1,81,"cost_income",-0.6,0
1,81,"prot25_child",0.5,1
1,81,"prot50_child",0,0
1,81,"invasive_child",0,1
1,82,"ASC2_male",0,1
1,82,"ASC3_age",0,1
1,82,"cost_income",1.1,0
1,82,"prot25_child",0,0
1,82,"prot50_child",-0.7,1
1,82,"invasive_child",-1,1
1,83,"ASC2_male",1,1
1,83,"ASC3_age",-1,0
1,83,"cost_income",-0.6,1
1,83,"prot25_child",0,0
1,83,"prot50_child",0,1
1,83,"invasive_child",0,1
1,84,"ASC2_male",-0.9,1
1,84,"ASC3_age",-0.5,1
1,84,"cost_income",0,1
1,84,"prot25_child",0,0
1,84,"prot50_child",1.1,0
1,84,"invasive_child",0,1
1,85,"ASC2_male",0.7,0
1,85,"ASC3_age",0,1
1,85,"cost_income",1.1,1
1,85,"prot25_child",0,1
1,85,"prot50_child",0.4,1
1,85,"invasive_child",0,0
1,86,"ASC2_male",1,1
1,86,"ASC3_age",0.8,0
1,86,"cost_income",0.4,0
1,86,"prot25_child",0,0
1,86,"prot50_child",0,1
1,86,"invasive_child",0,0
1,87,"ASC2_male",-0.9,0
1,87,"ASC3_age",0,0
1,87,"cost_income",0.9,1
1,87,"prot25_child",0,0
1,87,"prot50_child",1.2,1
1,87,"invasive_child",0,0
1,88,"ASC2_male",0,1
1,88,"ASC3_age",0,0
1,88,"cost_income",0.6,0
1,88,"prot25_child",0,1
1,88,"prot50_child",-1.1,0
1,88,"invasive_child",1.2,1
1,89,"ASC2_male",0.5,1
1,89,"ASC3_age",1.1,1
1,89,"cost_income",0,0
1,89,"prot25_child",0,1
1,89,"prot50_child",0,0
1,89,"invasive_child",1.2,0
1,90,"ASC2_male",-0.9,1
1,90,"ASC3_age",0,0
1,90,"cost_income",0,1
1,90,"prot25_child",-1,0
1,90,"prot50_child",0,1
1,90,"invasive_child",-0.6,1
1,91,"ASC2_male",0,1
1,91,"ASC3_age",0,0
1,91,"cost_income",1,0
1,91,"prot25_child",0,0
1,91,"prot50_child",-1.2,1
1,91,"invasive_child",-1,0
1,92,"ASC2_male",-0.8,0
1,92,"ASC3_age",-1,0
1,92,"cost_income",0,1
1,92,"prot25_child",1.1,1
1,92,"prot50_child",0,1
1,92,"invasive_child",0,0
1,93,"ASC2_male",-0.6,1
1,93,"ASC3_age",-0.6,1
1,93,"cost_income",0,0
1,93,"prot25_child",0,0
1,93,"prot50_child",0.6,0
1,93,"invasive_child",0,0
1,94,"ASC2_male",-1.2,1
1,94,"ASC3_age",0,0
1,94,"cost_income",1,0
1,94,"prot25_child",0,0
1,94,"prot50_child",-1.1,0
1,94,"invasive_child",0,1
1,95,"ASC2_male",1.1,1
1,95,"ASC3_age",0,1
1,95,"cost_income",0,1
1,95,"prot25_child",0.9,0
1,95,"prot50_child",0,0
1,95,"invasive_child",0.4,1
1,96,"ASC2_male",0,0
1,96,"ASC3_age",-0.5,1
1,96,"cost_income",0,0
1,96,"prot25_child",1.2,0
1,96,"prot50_child",0,1
1,96,"invasive_child",-0.6,1
1,97,"ASC2_male",0,1
1,97,"ASC3_age",-0.8,1
1,97,"cost_income",0,1
1,97,"prot25_child",0.8,1
1,97,"prot50_child",-1.1,1
1,97,"invasive_child",0,1
1,98,"ASC2_male",0.9,1
1,98,"ASC3_age",0,0
1,98,"cost_income",0.4,1
1,98,"prot25_child",0.6,1
1,98,"prot50_child",0,1
1,98,"invasive_child",0,1
1,99,"ASC2_male",0.5,0
1,99,"ASC3_age",0,0
1,99,"cost_income",0,1
1,99,"prot25_child",0,0
1,99,"prot50_child",-0.6,0
1,99,"invasive_child",-1,1
1,100,"ASC2_male",0,0
1,100,"ASC3_age",-1.1,0
1,100,"cost_income",0.5,0
1,100,"prot25_child",-0.4,1
1,100,"prot50_child",0,0
1,100,"invasive_child",0,1
1,101,"ASC2_male",0,0
1,101,"ASC3_age",0.8,0
1,101,"cost_income",0,0
1,101,"prot25_child",1,1
1,101,"prot50_child",0.7,1
1,101,"invasive_child",0,1
1,102,"ASC2_male",-1.2,0
1,102,"ASC3_age",0,1
1,102,"cost_income",0,1
1,102,"prot25_child",1.1,1
1,102,"prot50_child",0,0
1,102,"invasive_child",-0.9,0
1,103,"ASC2_male",0,0
1,103,"ASC3_age",-0.5,0
1,103,"cost_income",0,1
1,103,"prot25_child",0,1
1,103,"prot50_child",-0.7,0
1,103,"invasive_child",0.6,0
1,104,"ASC2_male",0,1
1,104,"ASC3_age",1.1,1
1,104,"cost_income",1.1,1
1,104,"prot25_child",0,0
1,104,"prot50_child",0.9,0
1,104,"invasive_child",0,1
1,105,"ASC2_male",-1.1,1
1,105,"ASC3_age",0,1
1,105,"cost_income",0.7,1
1,105,"prot25_child",0,0
1,105,"prot50_child",-1.2,1
1,105,"invasive_child",0,0
1,106,"ASC2_male",0,0
1,106,"ASC3_age",-0.6,0
1,106,"cost_income",-0.5,1
1,106,"prot25_child",0,0
1,106,"prot50_child",0,0
1,106,"invasive_child",-1.1,1
1,107,"ASC2_male",0.6,0
1,107,"ASC3_age",0,1
1,107,"cost_income",0,0
1,107,"prot25_child",1.1,1
1,107,"prot50_child",0,0
1,107,"invasive_child",0.8,1
1,108,"ASC2_male",0,0
1,108,"ASC3_age",0,1
1,108,"cost_income",1,0
1,108,"prot25_child",0,0
1,108,"prot50_child",-1.2,1
1,108,"invasive_child",-0.5,0
1,109,"ASC2_male",0,1
1,109,"ASC3_age",0,0
1,109,"cost_income",0.8,1
1,109,"prot25_child",-0.4,0
1,109,"prot50_child",0.7,0
1,109,"invasive_child",0,1
1,110,"ASC2_male",0,0
1,110,"ASC3_age",-1.1,1
1,110,"cost_income",1,0
1,110,"prot25_child",0,1
1,110,"prot50_child",0.7,0
1,110,"invasive_child",0,0
1,111,"ASC2_male",0,1
1,111,"ASC3_age",-1,0
1,111,"cost_income",0,0
1,111,"prot25_child",-0.8,0
1,111,"prot50_child",0,0
1,111,"invasive_child",0.6,1
1,112,"ASC2_male",1.2,0
1,112,"ASC3_age",-0.4,1
1,112,"cost_income",0,0
1,112,"prot25_child",0,1
1,112,"prot50_child",-1,1
1,112,"invasive_child",0,1
1,113,"ASC2_male",0,1
1,113,"ASC3_age",0,0
1,113,"cost_income",0,0
1,113,"prot25_child",0.8,1
1,113,"prot50_child",1.1,1
1,113,"invasive_child",0.7,0
1,114,"ASC2_male",0,0
1,114,"ASC3_age",0.8,1
1,114,"cost_income",0,0
1,114,"prot25_child",1,0
1,114,"prot50_child",0,0
1,114,"invasive_child",0.4,0
1,115,"ASC2_male",0,1
1,115,"ASC3_age",-0.5,1
1,115,"cost_income",0.9,1
1,115,"prot25_child",0,1
1,115,"prot50_child",0,0
1,115,"invasive_child",-1.2,0
1,116,"ASC2_male",0.7,1
1,116,"ASC3_age",0.4,1
1,116,"cost_income",-0.6,0
1,116,"prot25_child",0,1
1,116,"prot50_child",0,0
1,116,"invasive_child",0,1
1,117,"ASC2_male",0.7,0
1,117,"ASC3_age",0.6,0
1,117,"cost_income",0,1
1,117,"prot25_child",-0.9,1
1,117,"prot50_child",0,0
1,117,"invasive_child",0,1
1,118,"ASC2_male",0,0
1,118,"ASC3_age",-1.1,1
1,118,"cost_income",0,1
1,118,"prot25_child",0.4,1
1,118,"prot50_child",0,1
1,118,"invasive_child",1,0
1,119,"ASC2_male",1.1,0
1,119,"ASC3_age",0.6,1
1,119,"cost_income",-1.1,0
1,119,"prot25_child",0,0
1,119,"prot50_child",0,1
1,119,"invasive_child",0,0
1,120,"ASC2_male",0.5,0
1,120,"ASC3_age",0,0
1,120,"cost_income",-0.9,1
1,120,"prot25_child",0,0
1,120,"prot50_child",0,1
1,120,"invasive_child",0.8,0
1,121,"ASC2_male",0.5,0
1,121,"ASC3_age",0,1
1,121,"cost_income",0.8,0
1,121,"prot25_child",1,1
1,121,"prot50_child",0,1
1,121,"invasive_child",0,1
1,122,"ASC2_male",-1.1,1
1,122,"ASC3_age",0,1
1,122,"cost_income",0,0
1,122,"prot25_child",-0.4,1
1,122,"prot50_child",0,1
1,122,"invasive_child",-1.1,0
1,123,"ASC2_male",-1.2,0
1,123,"ASC3_age",0.6,0
1,123,"cost_income",0,1
1,123,"prot25_child",1.1,0
1,123,"prot50_child",0,0
1,123,"invasive_child",0,0
1,124,"ASC2_male",0,1
1,124,"ASC3_age",1.1,1
1,124,"cost_income",-1.1,0
1,124,"prot25_child",0,0
1,124,"prot50_child",0,1
1,124,"invasive_child",0.6,1
1,125,"ASC2_male",0,1
1,125,"ASC3_age",0.7,1
1,125,"cost_income",-1.1,1
1,125,"prot25_child",0,0
1,125,"prot50_child",0,1
1,125,"invasive_child",-1,1
1,126,"ASC2_male",0,0
1,126,"ASC3_age",0,0
1,126,"cost_income",-0.5,0
1,126,"prot25_child",0,0
1,126,"prot50_child",1,0
1,126,"invasive_child",0.8,0
1,127,"ASC2_male",0,0
1,127,"ASC3_age",0,0
1,127,"cost_income",0.9,0
1,127,"prot25_child",0.7,0
1,127,"prot50_child",0.5,0
1,127,"invasive_child",0,0
1,128,"ASC2_male",0,1
1,128,"ASC3_age",-1.2,0
1,128,"cost_income",0,0
1,128,"prot25_child",1.2,0
1,128,"prot50_child",-1.1,1
1,128,"invasive_child",0,0
1,129,"ASC2_male",0,0
1,129,"ASC3_age",-0.7,0
1,129,"cost_income",0.7,0
1,129,"prot25_child",0,0
1,129,"prot50_child",0,0
1,129,"invasive_child",0.7,0
1,130,"ASC2_male",0.6,0
1,130,"ASC3_age",0,0
1,130,"cost_income",0,1
1,130,"prot25_child",0.4,0
1,130,"prot50_child",0,0
1,130,"invasive_child",-1.1,1
1,131,"ASC2_male",0,0
1,131,"ASC3_age",1.2,0
1,131,"cost_income",0,1
1,131,"prot25_child",0.5,0
1,131,"prot50_child",1,0
1,131,"invasive_child",0,0
1,132,"ASC2_male",-1.1,0
1,132,"ASC3_age",0,0
1,132,"cost_income",0,0
1,132,"prot25_child",0,0
1,132,"prot50_child",1,0
1,132,"invasive_child",-1.1,0
1,133,"ASC2_male",0,0
1,133,"ASC3_age",-0.9,1
1,133,"cost_income",-0.6,0
1,133,"prot25_child",0,0
1,133,"prot50_child",0,0
1,133,"invasive_child",-1.1,0
1,134,"ASC2_male",0,0
1,134,"ASC3_age",-0.9,0
1,134,"cost_income",0,0
1,134,"prot25_child",1,0
1,134,"prot50_child",0.5,0
1,134,"invasive_child",0,0
1,135,"ASC2_male",0.4,0
1,135,"ASC3_age",0,0
1,135,"cost_income",0,0
1,135,"prot25_child",-0.4,0
1,135,"prot50_child",0,0
1,135,"invasive_child",1.1,0
1,136,"ASC2_male",0,0
1,136,"ASC3_age",-0.8,0
1,136,"cost_income",-0.7,0
1,136,"prot25_child",0,0
1,136,"prot50_child",0.7,0
1,136,"invasive_child",0,0
1,137,"ASC2_male",-0.7,0
1,137,"ASC3_age",0,1
1,137,"cost_income",0,0
1,137,"prot25_child",0,0
1,137,"prot50_child",0.4,0
1,137,"invasive_child",-1.1,0
1,138,"ASC2_male",0,0
1,138,"ASC3_age",0,0
1,138,"cost_income",0.9,0
1,138,"prot25_child",-0.7,0
1,138,"prot50_child",0,0
1,138,"invasive_child",1.1,0
1,139,"ASC2_male",-1,0
1,139,"ASC3_age",-0.9,0
1,139,"cost_income",0,0
1,139,"prot25_child",0,0
1,139,"prot50_child",-0.5,0
1,139,"invasive_child",0,0
1,140,"ASC2_male",0.9,0
1,140,"ASC3_age",-0.9,0
1,140,"cost_income",0.5,0
1,140,"prot25_child",0,0
1,140,"prot50_child",0,0
1,140,"invasive_child",0,0
1,141,"ASC2_male",-1.1,0
1,141,"ASC3_age",0,0
1,141,"cost_income",0,0
1,141,"prot25_child",0.5,0
1,141,"prot50_child",0,0
1,141,"invasive_child",0.6,0
1,142,"ASC2_male",-0.4,0
1,142,"ASC3_age",0,0
1,142,"cost_income",-0.7,0
1,142,"prot25_child",0,0
1,142,"prot50_child",0.5,0
1,142,"invasive_child",0,1
1,143,"ASC2_male",0.7,0
1,143,"ASC3_age",0.7,0
1,143,"cost_income",0,0
1,143,"prot25_child",0.9,0
1,143,"prot50_child",0,0
