"","line","invasive1","cost1","y1","spec101","spec251","prot251","prot501","invasive2","cost2","y2","spec102","spec252","prot252","prot502","invasive3","cost3","y3","spec103","spec253","prot253","prot503","respid","male","agegr","q1","q2","q3","q4","q4_other","q5_1","q5_2","q5_3","q6","q7","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","block","choice1","choice2","choice3","choice4","choice5","choice6","q22_1","q22_2","q22_3","q22_4","q22_5","q22_6","q22_7","q22_8","q22_9","q22_10","q23_1","q23_2","q24_1","q24_2","q24_3","q24_4","q24_5","q24_6","q24_7","q25_1","q25_2","q28","angling","scuba","q31","q32","q33","q34","earner","q36_1","q36_2","q36_3","edu","job","age","country","dist_db","dist_coast","dist_nsea","dist2_db","dist2_coast","dist2_nsea","inttime","resumed","income","lnincome","hhsize","children","child","firstcard","job1","job2","job3","job4","job5","job6","job7","job8","certainty1","certainty2","certainty3","certainty4","certainty5","certainty6","certainty","status","secfish","secrenew","secoil","secmarine","marinesector","coast1m","coast2m","coast4m","coast6m","coast10m","coast25m","coast50m","tottime","lntottime","tottimek","tottimek2","incomek","id","set","ASC21","ASC22","ASC23","ASC31","ASC32","ASC33"
"11",11,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,109,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,1,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,0,0,0,0,2,3,4,0,0,2,0,5,3,61,1,593.855346679688,28.0511932373047,246.131744384766,597.748291015625,7.575758934021,236.189178466797,65.480003,1,4000,8.2940493,2,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,5,4,29,0,0,0,0,0,0,0,0,0,1,1,1,1,3928.8003,8.2760897,3.9288003,15.435472,4,2,5,0,1,0,0,0,1
"12",12,1,0,0,0,0,0,0,0,60,1,0,1,0,0,1,10,0,1,0,1,0,109,1,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,1,4,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,0,0,0,0,2,3,4,0,0,2,0,5,3,61,1,593.855346679688,28.0511932373047,246.131744384766,597.748291015625,7.575758934021,236.189178466797,65.480003,1,4000,8.2940493,2,0,0,1,0,0,1,0,0,0,0,0,5,5,5,5,5,4,29,0,0,0,0,0,0,0,0,0,1,1,1,1,3928.8003,8.2760897,3.9288003,15.435472,4,2,6,0,1,0,0,0,1
"13",13,1,0,0,0,0,0,0,0,30,0,0,0,1,0,0,30,1,0,1,0,0,114,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,0,0,3,0,0,NA,2,0,0,0,NA,1,0,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,1,1,1,4,2,3,3,0,0,2,0,4,2,56,NA,NA,NA,NA,NA,NA,NA,27.65,1,2500,7.8240461,2,0,0,2,0,1,0,0,0,0,0,0,5,5,5,5,5,5,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1659,7.4139705,1.659,2.7522812,2.5,3,1,0,1,0,0,0,1
"14",14,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,114,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,0,0,3,0,0,NA,2,0,0,0,NA,1,0,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,1,1,1,4,2,3,3,0,0,2,0,4,2,56,NA,NA,NA,NA,NA,NA,NA,27.65,1,2500,7.8240461,2,0,0,2,0,1,0,0,0,0,0,0,5,5,5,5,5,5,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1659,7.4139705,1.659,2.7522812,2.5,3,2,0,1,0,0,0,1
"15",15,1,0,0,0,0,0,0,1,30,0,0,1,0,0,1,60,1,0,0,0,1,114,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,0,0,3,0,0,NA,2,0,0,0,NA,1,0,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,1,1,1,4,2,3,3,0,0,2,0,4,2,56,NA,NA,NA,NA,NA,NA,NA,27.65,1,2500,7.8240461,2,0,0,2,0,1,0,0,0,0,0,0,5,5,5,5,5,5,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1659,7.4139705,1.659,2.7522812,2.5,3,3,0,1,0,0,0,1
"16",16,1,0,0,0,0,0,0,1,5,0,1,0,1,0,0,20,1,1,0,0,1,114,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,0,0,3,0,0,NA,2,0,0,0,NA,1,0,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,1,1,1,4,2,3,3,0,0,2,0,4,2,56,NA,NA,NA,NA,NA,NA,NA,27.65,1,2500,7.8240461,2,0,0,2,0,1,0,0,0,0,0,0,5,5,5,5,5,5,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1659,7.4139705,1.659,2.7522812,2.5,3,4,0,1,0,0,0,1
"17",17,1,0,0,0,0,0,0,0,10,0,0,1,0,1,1,20,1,1,0,0,0,114,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,0,0,3,0,0,NA,2,0,0,0,NA,1,0,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,1,1,1,4,2,3,3,0,0,2,0,4,2,56,NA,NA,NA,NA,NA,NA,NA,27.65,1,2500,7.8240461,2,0,0,2,0,1,0,0,0,0,0,0,5,5,5,5,5,5,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1659,7.4139705,1.659,2.7522812,2.5,3,5,0,1,0,0,0,1
"18",18,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,114,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,0,0,3,0,0,NA,2,0,0,0,NA,1,0,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,1,1,1,4,2,3,3,0,0,2,0,4,2,56,NA,NA,NA,NA,NA,NA,NA,27.65,1,2500,7.8240461,2,0,0,2,0,1,0,0,0,0,0,0,5,5,5,5,5,5,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1659,7.4139705,1.659,2.7522812,2.5,3,6,0,1,0,0,0,1
"19",19,1,0,1,0,0,0,0,0,30,0,0,0,1,0,0,30,0,0,1,0,0,124,0,1,0,1,6,NA,NA,4,4,4,0,0,1,0,0,0,2,0,3,0,NA,3,0,0,0,1,0,0,1,4,1,3,1,2,2,3,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,0,0,0,3,1,5,4,0,0,2,0,5,7,24,1,455.453521728516,36.0047035217285,39.6781578063965,439.249481201172,27.9172286987305,27.9172286987305,15.92,1,4000,8.2940493,2,0,0,4,0,0,0,0,0,0,1,0,5,4,4,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1,955.20001,6.8619208,0.95520002,0.9124071,4,4,1,0,1,0,0,0,1
"20",20,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,124,0,1,0,1,6,NA,NA,4,4,4,0,0,1,0,0,0,2,0,3,0,NA,3,0,0,0,1,0,0,1,4,1,3,1,2,2,3,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,0,0,0,3,1,5,4,0,0,2,0,5,7,24,1,455.453521728516,36.0047035217285,39.6781578063965,439.249481201172,27.9172286987305,27.9172286987305,15.92,1,4000,8.2940493,2,0,0,4,0,0,0,0,0,0,1,0,5,4,4,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1,955.20001,6.8619208,0.95520002,0.9124071,4,4,2,0,1,0,0,0,1
"21",21,1,0,1,0,0,0,0,1,30,0,0,1,0,0,1,60,0,0,0,0,1,124,0,1,0,1,6,NA,NA,4,4,4,0,0,1,0,0,0,2,0,3,0,NA,3,0,0,0,1,0,0,1,4,1,3,1,2,2,3,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,0,0,0,3,1,5,4,0,0,2,0,5,7,24,1,455.453521728516,36.0047035217285,39.6781578063965,439.249481201172,27.9172286987305,27.9172286987305,15.92,1,4000,8.2940493,2,0,0,4,0,0,0,0,0,0,1,0,5,4,4,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1,955.20001,6.8619208,0.95520002,0.9124071,4,4,3,0,1,0,0,0,1
"22",22,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,124,0,1,0,1,6,NA,NA,4,4,4,0,0,1,0,0,0,2,0,3,0,NA,3,0,0,0,1,0,0,1,4,1,3,1,2,2,3,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,0,0,0,3,1,5,4,0,0,2,0,5,7,24,1,455.453521728516,36.0047035217285,39.6781578063965,439.249481201172,27.9172286987305,27.9172286987305,15.92,1,4000,8.2940493,2,0,0,4,0,0,0,0,0,0,1,0,5,4,4,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1,955.20001,6.8619208,0.95520002,0.9124071,4,4,4,0,1,0,0,0,1
"23",23,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,124,0,1,0,1,6,NA,NA,4,4,4,0,0,1,0,0,0,2,0,3,0,NA,3,0,0,0,1,0,0,1,4,1,3,1,2,2,3,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,0,0,0,3,1,5,4,0,0,2,0,5,7,24,1,455.453521728516,36.0047035217285,39.6781578063965,439.249481201172,27.9172286987305,27.9172286987305,15.92,1,4000,8.2940493,2,0,0,4,0,0,0,0,0,0,1,0,5,4,4,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1,955.20001,6.8619208,0.95520002,0.9124071,4,4,5,0,1,0,0,0,1
"24",24,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,124,0,1,0,1,6,NA,NA,4,4,4,0,0,1,0,0,0,2,0,3,0,NA,3,0,0,0,1,0,0,1,4,1,3,1,2,2,3,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,0,0,0,3,1,5,4,0,0,2,0,5,7,24,1,455.453521728516,36.0047035217285,39.6781578063965,439.249481201172,27.9172286987305,27.9172286987305,15.92,1,4000,8.2940493,2,0,0,4,0,0,0,0,0,0,1,0,5,4,4,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,1,1,955.20001,6.8619208,0.95520002,0.9124071,4,4,6,0,1,0,0,0,1
"25",25,1,0,1,0,0,0,0,0,30,0,0,0,1,0,0,30,0,0,1,0,0,126,1,6,0,1,6,NA,NA,4,4,4,0,1,2,0,3,1,0,0,0,1,1,2,0,0,1,1,1,0,1,4,1,3,2,3,2,3,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,0,1,0,3,4,6,2,1,0,0,1,2,8,66,1,323.692535400391,71.0894622802734,71.0894622802734,332.478271484375,78.5128936767578,78.5128936767578,32.720001,1,1500,7.3132205,1,0,0,2,0,0,0,0,0,0,0,1,3,4,4,5,5,5,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1963.2001,7.5823312,1.9632001,3.8541546,1.5,5,1,0,1,0,0,0,1
"26",26,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,126,1,6,0,1,6,NA,NA,4,4,4,0,1,2,0,3,1,0,0,0,1,1,2,0,0,1,1,1,0,1,4,1,3,2,3,2,3,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,0,1,0,3,4,6,2,1,0,0,1,2,8,66,1,323.692535400391,71.0894622802734,71.0894622802734,332.478271484375,78.5128936767578,78.5128936767578,32.720001,1,1500,7.3132205,1,0,0,2,0,0,0,0,0,0,0,1,3,4,4,5,5,5,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1963.2001,7.5823312,1.9632001,3.8541546,1.5,5,2,0,1,0,0,0,1
"27",27,1,0,0,0,0,0,0,1,30,1,0,1,0,0,1,60,0,0,0,0,1,126,1,6,0,1,6,NA,NA,4,4,4,0,1,2,0,3,1,0,0,0,1,1,2,0,0,1,1,1,0,1,4,1,3,2,3,2,3,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,0,1,0,3,4,6,2,1,0,0,1,2,8,66,1,323.692535400391,71.0894622802734,71.0894622802734,332.478271484375,78.5128936767578,78.5128936767578,32.720001,1,1500,7.3132205,1,0,0,2,0,0,0,0,0,0,0,1,3,4,4,5,5,5,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1963.2001,7.5823312,1.9632001,3.8541546,1.5,5,3,0,1,0,0,0,1
"28",28,1,0,0,0,0,0,0,1,5,0,1,0,1,0,0,20,1,1,0,0,1,126,1,6,0,1,6,NA,NA,4,4,4,0,1,2,0,3,1,0,0,0,1,1,2,0,0,1,1,1,0,1,4,1,3,2,3,2,3,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,0,1,0,3,4,6,2,1,0,0,1,2,8,66,1,323.692535400391,71.0894622802734,71.0894622802734,332.478271484375,78.5128936767578,78.5128936767578,32.720001,1,1500,7.3132205,1,0,0,2,0,0,0,0,0,0,0,1,3,4,4,5,5,5,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1963.2001,7.5823312,1.9632001,3.8541546,1.5,5,4,0,1,0,0,0,1
"29",29,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,126,1,6,0,1,6,NA,NA,4,4,4,0,1,2,0,3,1,0,0,0,1,1,2,0,0,1,1,1,0,1,4,1,3,2,3,2,3,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,0,1,0,3,4,6,2,1,0,0,1,2,8,66,1,323.692535400391,71.0894622802734,71.0894622802734,332.478271484375,78.5128936767578,78.5128936767578,32.720001,1,1500,7.3132205,1,0,0,2,0,0,0,0,0,0,0,1,3,4,4,5,5,5,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1963.2001,7.5823312,1.9632001,3.8541546,1.5,5,5,0,1,0,0,0,1
"30",30,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,10,1,1,0,1,0,126,1,6,0,1,6,NA,NA,4,4,4,0,1,2,0,3,1,0,0,0,1,1,2,0,0,1,1,1,0,1,4,1,3,2,3,2,3,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,0,1,0,3,4,6,2,1,0,0,1,2,8,66,1,323.692535400391,71.0894622802734,71.0894622802734,332.478271484375,78.5128936767578,78.5128936767578,32.720001,1,1500,7.3132205,1,0,0,2,0,0,0,0,0,0,0,1,3,4,4,5,5,5,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1963.2001,7.5823312,1.9632001,3.8541546,1.5,5,6,0,1,0,0,0,1
"31",31,1,0,0,0,0,0,0,0,30,0,0,0,1,0,0,30,1,0,1,0,0,129,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,1,2,0,0,0,NA,2,1,0,1,1,1,1,1,4,3,3,2,2,2,3,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,0,0,0,2,3,8,2,0,0,2,0,3,5,59,1,272.559387207031,11.5097665786743,11.5097665786743,259.730834960938,7.13568782806396,7.13568782806396,11.77,1,1500,7.3132205,2,0,0,5,0,0,0,0,1,0,0,0,3,5,3,4,3,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,706.20001,6.5598984,0.7062,0.49871844,1.5,6,1,0,1,0,0,0,1
"32",32,1,0,0,0,0,0,0,1,30,0,0,0,0,1,1,10,1,0,1,1,0,129,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,1,2,0,0,0,NA,2,1,0,1,1,1,1,1,4,3,3,2,2,2,3,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,0,0,0,2,3,8,2,0,0,2,0,3,5,59,1,272.559387207031,11.5097665786743,11.5097665786743,259.730834960938,7.13568782806396,7.13568782806396,11.77,1,1500,7.3132205,2,0,0,5,0,0,0,0,1,0,0,0,3,5,3,4,3,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,706.20001,6.5598984,0.7062,0.49871844,1.5,6,2,0,1,0,0,0,1
"33",33,1,0,0,0,0,0,0,1,30,1,0,1,0,0,1,60,0,0,0,0,1,129,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,1,2,0,0,0,NA,2,1,0,1,1,1,1,1,4,3,3,2,2,2,3,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,0,0,0,2,3,8,2,0,0,2,0,3,5,59,1,272.559387207031,11.5097665786743,11.5097665786743,259.730834960938,7.13568782806396,7.13568782806396,11.77,1,1500,7.3132205,2,0,0,5,0,0,0,0,1,0,0,0,3,5,3,4,3,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,706.20001,6.5598984,0.7062,0.49871844,1.5,6,3,0,1,0,0,0,1
"34",34,1,0,0,0,0,0,0,1,5,1,1,0,1,0,0,20,0,1,0,0,1,129,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,1,2,0,0,0,NA,2,1,0,1,1,1,1,1,4,3,3,2,2,2,3,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,0,0,0,2,3,8,2,0,0,2,0,3,5,59,1,272.559387207031,11.5097665786743,11.5097665786743,259.730834960938,7.13568782806396,7.13568782806396,11.77,1,1500,7.3132205,2,0,0,5,0,0,0,0,1,0,0,0,3,5,3,4,3,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,706.20001,6.5598984,0.7062,0.49871844,1.5,6,4,0,1,0,0,0,1
"35",35,1,0,0,0,0,0,0,0,10,1,0,1,0,1,1,20,0,1,0,0,0,129,0,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,1,2,0,0,0,NA,2,1,0,1,1,1,1,1,4,3,3,2,2,2,3,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,0,0,0,2,3,8,2,0,0,2,0,3,5,59,1,272.559387207031,11.5097665786743,11.5097665786743,259.730834960938,7.13568782806396,7.13568782806396,11.77,1,1500,7.3132205,2,0,0,5,0,0,0,0,1,0,0,0,3,5,3,4,3,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,706.20001,6.5598984,0.7062,0.49871844,1.5,6,5,0,1,0,0,0,1
