line,invasive1,cost1,y1,spec101,spec251,prot251,prot501,invasive2,cost2,y2,spec102,spec252,prot252,prot502,invasive3,cost3,y3,spec103,spec253,prot253,prot503,respid,male,agegr,block,q20_1,q20_2,q20_3,q20_4,dq21_1,dq21_2,dq21_3,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q23_1,q23_2,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25_1,q25_2,q34,edu,job,age,country,inttime,resumed,income,england,scotland,wales,nireland,protest1,protest2,protest3,id,set
11,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,109,1,5,4,1,1,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,4,5,3,61,1,65.480003,1,4000,1,0,0,0,0,0,0,2,5
12,0,0,0,0,0,0,0,1,60,1,0,1,0,0,0,10,0,1,0,1,0,109,1,5,4,1,1,1,1,0,0,0,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,5,4,5,3,61,1,65.480003,1,4000,1,0,0,0,0,0,0,2,6
13,0,0,0,0,0,0,0,1,30,0,0,0,1,0,1,30,1,0,1,0,0,114,0,5,4,1,1,1,1,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,3,4,2,56,,27.65,1,2500,,,,,0,0,0,3,1
14,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,114,0,5,4,1,1,1,1,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,3,4,2,56,,27.65,1,2500,,,,,0,0,0,3,2
15,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,60,1,0,0,0,1,114,0,5,4,1,1,1,1,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,3,4,2,56,,27.65,1,2500,,,,,0,0,0,3,3
16,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,20,1,1,0,0,1,114,0,5,4,1,1,1,1,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,3,4,2,56,,27.65,1,2500,,,,,0,0,0,3,4
17,0,0,0,0,0,0,0,1,10,0,0,1,0,1,0,20,1,1,0,0,0,114,0,5,4,1,1,1,1,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,3,4,2,56,,27.65,1,2500,,,,,0,0,0,3,5
18,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,114,0,5,4,1,1,1,1,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,3,4,2,56,,27.65,1,2500,,,,,0,0,0,3,6
19,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,124,0,1,4,2,1,2,1,,,,,,,,,,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,4,5,7,24,1,15.92,1,4000,1,0,0,0,0,0,0,4,1
20,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,124,0,1,4,2,1,2,1,,,,,,,,,,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,4,5,7,24,1,15.92,1,4000,1,0,0,0,0,0,0,4,2
21,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,124,0,1,4,2,1,2,1,,,,,,,,,,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,4,5,7,24,1,15.92,1,4000,1,0,0,0,0,0,0,4,3
22,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,124,0,1,4,2,1,2,1,,,,,,,,,,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,4,5,7,24,1,15.92,1,4000,1,0,0,0,0,0,0,4,4
23,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,124,0,1,4,2,1,2,1,,,,,,,,,,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,4,5,7,24,1,15.92,1,4000,1,0,0,0,0,0,0,4,5
24,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,124,0,1,4,2,1,2,1,,,,,,,,,,3,4,5,4,3,4,4,4,5,4,4,4,4,4,2,4,4,4,4,3,3,4,5,7,24,1,15.92,1,4000,1,0,0,0,0,0,0,4,6
25,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,126,1,6,4,1,1,1,1,,,,,,,,,,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,2,2,8,66,1,32.720001,1,1500,1,0,0,0,0,0,0,5,1
26,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,126,1,6,4,1,1,1,1,,,,,,,,,,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,2,2,8,66,1,32.720001,1,1500,1,0,0,0,0,0,0,5,2
27,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,60,0,0,0,0,1,126,1,6,4,1,1,1,1,,,,,,,,,,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,2,2,8,66,1,32.720001,1,1500,1,0,0,0,0,0,0,5,3
28,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,20,1,1,0,0,1,126,1,6,4,1,1,1,1,,,,,,,,,,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,2,2,8,66,1,32.720001,1,1500,1,0,0,0,0,0,0,5,4
29,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,126,1,6,4,1,1,1,1,,,,,,,,,,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,2,2,8,66,1,32.720001,1,1500,1,0,0,0,0,0,0,5,5
30,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,126,1,6,4,1,1,1,1,,,,,,,,,,2,4,4,4,2,4,5,2,5,4,4,5,3,2,3,4,5,5,5,3,2,2,2,8,66,1,32.720001,1,1500,1,0,0,0,0,0,0,5,6
31,0,0,0,0,0,0,0,1,30,0,0,0,1,0,1,30,1,0,1,0,0,129,0,5,4,3,2,2,3,,,,,,,,,,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,2,3,5,59,1,11.77,1,1500,1,0,0,0,0,1,0,6,1
32,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,129,0,5,4,3,2,2,3,,,,,,,,,,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,2,3,5,59,1,11.77,1,1500,1,0,0,0,0,1,0,6,2
33,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,60,0,0,0,0,1,129,0,5,4,3,2,2,3,,,,,,,,,,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,2,3,5,59,1,11.77,1,1500,1,0,0,0,0,1,0,6,3
34,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,129,0,5,4,3,2,2,3,,,,,,,,,,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,2,3,5,59,1,11.77,1,1500,1,0,0,0,0,1,0,6,4
35,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,129,0,5,4,3,2,2,3,,,,,,,,,,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,2,3,5,59,1,11.77,1,1500,1,0,0,0,0,1,0,6,5
36,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,129,0,5,4,3,2,2,3,,,,,,,,,,1,5,3,5,5,5,4,3,3,4,4,4,1,1,2,4,5,3,4,1,1,2,3,5,59,1,11.77,1,1500,1,0,0,0,0,1,0,6,6
37,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,130,1,6,4,1,1,1,1,,,,,,,,,,1,1,5,5,5,5,5,1,5,4,1,7,1,1,3,5,5,5,5,1,1,7,2,8,67,1,15.73,1,12000,1,0,0,0,0,0,0,7,1
38,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,130,1,6,4,1,1,1,1,,,,,,,,,,1,1,5,5,5,5,5,1,5,4,1,7,1,1,3,5,5,5,5,1,1,7,2,8,67,1,15.73,1,12000,1,0,0,0,0,0,0,7,2
39,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,130,1,6,4,1,1,1,1,,,,,,,,,,1,1,5,5,5,5,5,1,5,4,1,7,1,1,3,5,5,5,5,1,1,7,2,8,67,1,15.73,1,12000,1,0,0,0,0,0,0,7,3
40,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,130,1,6,4,1,1,1,1,,,,,,,,,,1,1,5,5,5,5,5,1,5,4,1,7,1,1,3,5,5,5,5,1,1,7,2,8,67,1,15.73,1,12000,1,0,0,0,0,0,0,7,4
41,0,0,0,0,0,0,0,1,10,0,0,1,0,1,0,20,1,1,0,0,0,130,1,6,4,1,1,1,1,,,,,,,,,,1,1,5,5,5,5,5,1,5,4,1,7,1,1,3,5,5,5,5,1,1,7,2,8,67,1,15.73,1,12000,1,0,0,0,0,0,0,7,5
42,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,130,1,6,4,1,1,1,1,,,,,,,,,,1,1,5,5,5,5,5,1,5,4,1,7,1,1,3,5,5,5,5,1,1,7,2,8,67,1,15.73,1,12000,1,0,0,0,0,0,0,7,6
43,0,0,0,0,0,0,0,1,30,1,0,0,1,0,1,30,0,0,1,0,0,131,0,1,4,1,1,4,2,,,,,,,,,,3,4,3,4,5,5,3,4,5,3,4,4,3,3,2,5,4,4,4,3,3,1,5,2,22,1,19.67,1,500,1,0,0,0,0,1,0,8,1
44,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,131,0,1,4,1,1,4,2,,,,,,,,,,3,4,3,4,5,5,3,4,5,3,4,4,3,3,2,5,4,4,4,3,3,1,5,2,22,1,19.67,1,500,1,0,0,0,0,1,0,8,2
45,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,131,0,1,4,1,1,4,2,,,,,,,,,,3,4,3,4,5,5,3,4,5,3,4,4,3,3,2,5,4,4,4,3,3,1,5,2,22,1,19.67,1,500,1,0,0,0,0,1,0,8,3
46,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,131,0,1,4,1,1,4,2,,,,,,,,,,3,4,3,4,5,5,3,4,5,3,4,4,3,3,2,5,4,4,4,3,3,1,5,2,22,1,19.67,1,500,1,0,0,0,0,1,0,8,4
47,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,131,0,1,4,1,1,4,2,,,,,,,,,,3,4,3,4,5,5,3,4,5,3,4,4,3,3,2,5,4,4,4,3,3,1,5,2,22,1,19.67,1,500,1,0,0,0,0,1,0,8,5
48,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,131,0,1,4,1,1,4,2,,,,,,,,,,3,4,3,4,5,5,3,4,5,3,4,4,3,3,2,5,4,4,4,3,3,1,5,2,22,1,19.67,1,500,1,0,0,0,0,1,0,8,6
49,0,0,0,0,0,0,0,1,30,1,0,0,1,0,1,30,0,0,1,0,0,132,0,1,4,2,1,2,2,,,,,,,,,,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,4,2,21,1,18.120001,1,1500,1,0,0,0,0,0,0,9,1
50,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,132,0,1,4,2,1,2,2,,,,,,,,,,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,4,2,21,1,18.120001,1,1500,1,0,0,0,0,0,0,9,2
51,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,60,1,0,0,0,1,132,0,1,4,2,1,2,2,,,,,,,,,,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,4,2,21,1,18.120001,1,1500,1,0,0,0,0,0,0,9,3
52,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,20,1,1,0,0,1,132,0,1,4,2,1,2,2,,,,,,,,,,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,4,2,21,1,18.120001,1,1500,1,0,0,0,0,0,0,9,4
53,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,132,0,1,4,2,1,2,2,,,,,,,,,,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,4,2,21,1,18.120001,1,1500,1,0,0,0,0,0,0,9,5
54,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,132,0,1,4,2,1,2,2,,,,,,,,,,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,4,2,21,1,18.120001,1,1500,1,0,0,0,0,0,0,9,6
55,0,0,0,0,0,0,0,1,30,0,0,0,1,0,1,30,1,0,1,0,0,133,1,5,4,2,1,2,1,,,,,,,,,,2,2,2,3,2,2,3,4,4,4,7,7,3,2,2,4,4,4,4,4,4,2,1,5,62,1,16.450001,1,1500,1,0,0,0,0,0,0,10,1
56,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,133,1,5,4,2,1,2,1,,,,,,,,,,2,2,2,3,2,2,3,4,4,4,7,7,3,2,2,4,4,4,4,4,4,2,1,5,62,1,16.450001,1,1500,1,0,0,0,0,0,0,10,2
57,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,60,0,0,0,0,1,133,1,5,4,2,1,2,1,,,,,,,,,,2,2,2,3,2,2,3,4,4,4,7,7,3,2,2,4,4,4,4,4,4,2,1,5,62,1,16.450001,1,1500,1,0,0,0,0,0,0,10,3
58,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,20,1,1,0,0,1,133,1,5,4,2,1,2,1,,,,,,,,,,2,2,2,3,2,2,3,4,4,4,7,7,3,2,2,4,4,4,4,4,4,2,1,5,62,1,16.450001,1,1500,1,0,0,0,0,0,0,10,4
59,0,0,0,0,0,0,0,1,10,0,0,1,0,1,0,20,1,1,0,0,0,133,1,5,4,2,1,2,1,,,,,,,,,,2,2,2,3,2,2,3,4,4,4,7,7,3,2,2,4,4,4,4,4,4,2,1,5,62,1,16.450001,1,1500,1,0,0,0,0,0,0,10,5
60,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,133,1,5,4,2,1,2,1,,,,,,,,,,2,2,2,3,2,2,3,4,4,4,7,7,3,2,2,4,4,4,4,4,4,2,1,5,62,1,16.450001,1,1500,1,0,0,0,0,0,0,10,6
61,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,134,0,5,4,1,1,1,1,,,,,,,,,,1,3,1,2,4,2,4,4,5,2,3,7,5,4,3,4,5,5,5,4,2,2,4,8,59,1,22.82,1,1500,1,0,0,0,0,0,0,11,1
62,0,0,0,0,0,0,0,0,30,1,0,0,0,1,0,10,0,0,1,1,0,134,0,5,4,1,1,1,1,,,,,,,,,,1,3,1,2,4,2,4,4,5,2,3,7,5,4,3,4,5,5,5,4,2,2,4,8,59,1,22.82,1,1500,1,0,0,0,0,0,0,11,2
63,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,134,0,5,4,1,1,1,1,,,,,,,,,,1,3,1,2,4,2,4,4,5,2,3,7,5,4,3,4,5,5,5,4,2,2,4,8,59,1,22.82,1,1500,1,0,0,0,0,0,0,11,3
64,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,134,0,5,4,1,1,1,1,,,,,,,,,,1,3,1,2,4,2,4,4,5,2,3,7,5,4,3,4,5,5,5,4,2,2,4,8,59,1,22.82,1,1500,1,0,0,0,0,0,0,11,4
65,0,0,1,0,0,0,0,1,10,0,0,1,0,1,0,20,0,1,0,0,0,134,0,5,4,1,1,1,1,,,,,,,,,,1,3,1,2,4,2,4,4,5,2,3,7,5,4,3,4,5,5,5,4,2,2,4,8,59,1,22.82,1,1500,1,0,0,0,0,0,0,11,5
66,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,134,0,5,4,1,1,1,1,,,,,,,,,,1,3,1,2,4,2,4,4,5,2,3,7,5,4,3,4,5,5,5,4,2,2,4,8,59,1,22.82,1,1500,1,0,0,0,0,0,0,11,6
67,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,135,1,6,4,1,1,2,1,,,,,,,,,,2,3,4,3,3,3,4,2,4,4,4,5,4,4,4,3,5,4,4,3,2,2,3,8,72,1,160.25,1,1500,1,0,0,0,0,0,0,12,1
68,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,135,1,6,4,1,1,2,1,,,,,,,,,,2,3,4,3,3,3,4,2,4,4,4,5,4,4,4,3,5,4,4,3,2,2,3,8,72,1,160.25,1,1500,1,0,0,0,0,0,0,12,2
69,0,0,1,0,0,0,0,0,30,0,0,1,0,0,0,60,0,0,0,0,1,135,1,6,4,1,1,2,1,,,,,,,,,,2,3,4,3,3,3,4,2,4,4,4,5,4,4,4,3,5,4,4,3,2,2,3,8,72,1,160.25,1,1500,1,0,0,0,0,0,0,12,3
70,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,20,1,1,0,0,1,135,1,6,4,1,1,2,1,,,,,,,,,,2,3,4,3,3,3,4,2,4,4,4,5,4,4,4,3,5,4,4,3,2,2,3,8,72,1,160.25,1,1500,1,0,0,0,0,0,0,12,4
71,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,135,1,6,4,1,1,2,1,,,,,,,,,,2,3,4,3,3,3,4,2,4,4,4,5,4,4,4,3,5,4,4,3,2,2,3,8,72,1,160.25,1,1500,1,0,0,0,0,0,0,12,5
72,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,135,1,6,4,1,1,2,1,,,,,,,,,,2,3,4,3,3,3,4,2,4,4,4,5,4,4,4,3,5,4,4,3,2,2,3,8,72,1,160.25,1,1500,1,0,0,0,0,0,0,12,6
73,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,136,1,5,4,1,1,1,1,,,,,,,,,,1,4,3,5,3,5,5,3,4,5,7,7,3,3,4,5,5,5,5,4,3,2,1,5,56,1,71.830002,1,1500,1,0,0,0,0,0,0,13,1
74,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,136,1,5,4,1,1,1,1,,,,,,,,,,1,4,3,5,3,5,5,3,4,5,7,7,3,3,4,5,5,5,5,4,3,2,1,5,56,1,71.830002,1,1500,1,0,0,0,0,0,0,13,2
75,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,60,0,0,0,0,1,136,1,5,4,1,1,1,1,,,,,,,,,,1,4,3,5,3,5,5,3,4,5,7,7,3,3,4,5,5,5,5,4,3,2,1,5,56,1,71.830002,1,1500,1,0,0,0,0,0,0,13,3
76,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,136,1,5,4,1,1,1,1,,,,,,,,,,1,4,3,5,3,5,5,3,4,5,7,7,3,3,4,5,5,5,5,4,3,2,1,5,56,1,71.830002,1,1500,1,0,0,0,0,0,0,13,4
77,0,0,0,0,0,0,0,1,10,1,0,1,0,1,0,20,0,1,0,0,0,136,1,5,4,1,1,1,1,,,,,,,,,,1,4,3,5,3,5,5,3,4,5,7,7,3,3,4,5,5,5,5,4,3,2,1,5,56,1,71.830002,1,1500,1,0,0,0,0,0,0,13,5
78,0,0,0,0,0,0,0,1,60,0,0,1,0,0,0,10,1,1,0,1,0,136,1,5,4,1,1,1,1,,,,,,,,,,1,4,3,5,3,5,5,3,4,5,7,7,3,3,4,5,5,5,5,4,3,2,1,5,56,1,71.830002,1,1500,1,0,0,0,0,0,0,13,6
79,0,0,0,0,0,0,0,1,30,1,0,0,1,0,1,30,0,0,1,0,0,138,1,5,4,2,1,3,3,,,,,,,,,,3,4,4,4,3,4,3,3,4,4,5,5,3,3,3,4,5,4,4,3,2,2,2,8,64,1,16.280001,1,1500,1,0,0,0,0,0,0,14,1
80,0,0,0,0,0,0,0,0,30,1,0,0,0,1,0,10,0,0,1,1,0,138,1,5,4,2,1,3,3,,,,,,,,,,3,4,4,4,3,4,3,3,4,4,5,5,3,3,3,4,5,4,4,3,2,2,2,8,64,1,16.280001,1,1500,1,0,0,0,0,0,0,14,2
81,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,60,0,0,0,0,1,138,1,5,4,2,1,3,3,,,,,,,,,,3,4,4,4,3,4,3,3,4,4,5,5,3,3,3,4,5,4,4,3,2,2,2,8,64,1,16.280001,1,1500,1,0,0,0,0,0,0,14,3
82,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,138,1,5,4,2,1,3,3,,,,,,,,,,3,4,4,4,3,4,3,3,4,4,5,5,3,3,3,4,5,4,4,3,2,2,2,8,64,1,16.280001,1,1500,1,0,0,0,0,0,0,14,4
83,0,0,0,0,0,0,0,1,10,0,0,1,0,1,0,20,1,1,0,0,0,138,1,5,4,2,1,3,3,,,,,,,,,,3,4,4,4,3,4,3,3,4,4,5,5,3,3,3,4,5,4,4,3,2,2,2,8,64,1,16.280001,1,1500,1,0,0,0,0,0,0,14,5
84,0,0,0,0,0,0,0,1,60,1,0,1,0,0,0,10,0,1,0,1,0,138,1,5,4,2,1,3,3,,,,,,,,,,3,4,4,4,3,4,3,3,4,4,5,5,3,3,3,4,5,4,4,3,2,2,2,8,64,1,16.280001,1,1500,1,0,0,0,0,0,0,14,6
85,0,0,1,0,0,0,0,1,30,0,0,0,1,0,1,30,0,0,1,0,0,139,1,1,4,1,4,1,2,,,,,,,,,,2,3,4,3,3,4,5,4,3,4,4,5,4,3,3,5,4,4,5,4,4,2,5,1,24,1,12.42,1,1500,1,0,0,0,0,0,0,15,1
86,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,10,1,0,1,1,0,139,1,1,4,1,4,1,2,,,,,,,,,,2,3,4,3,3,4,5,4,3,4,4,5,4,3,3,5,4,4,5,4,4,2,5,1,24,1,12.42,1,1500,1,0,0,0,0,0,0,15,2
87,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,60,0,0,0,0,1,139,1,1,4,1,4,1,2,,,,,,,,,,2,3,4,3,3,4,5,4,3,4,4,5,4,3,3,5,4,4,5,4,4,2,5,1,24,1,12.42,1,1500,1,0,0,0,0,0,0,15,3
88,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,20,0,1,0,0,1,139,1,1,4,1,4,1,2,,,,,,,,,,2,3,4,3,3,4,5,4,3,4,4,5,4,3,3,5,4,4,5,4,4,2,5,1,24,1,12.42,1,1500,1,0,0,0,0,0,0,15,4
89,0,0,1,0,0,0,0,1,10,0,0,1,0,1,0,20,0,1,0,0,0,139,1,1,4,1,4,1,2,,,,,,,,,,2,3,4,3,3,4,5,4,3,4,4,5,4,3,3,5,4,4,5,4,4,2,5,1,24,1,12.42,1,1500,1,0,0,0,0,0,0,15,5
