"","person","set","choice","cost_alt1","beach_25_alt1","beach_50_alt1","beach_75_alt1","beach_90_alt1","coastal_5_alt1","coastal_10_alt1","coastal_15_alt1","coastal_20_alt1","intl_3_alt1","intl_5_alt1","intl_10_alt1","intl_15_alt1","foreign_5_alt1","foreign_10_alt1","foreign_15_alt1","foreign_20_alt1","csplit_50home_alt1","csplit_75home_alt1","cost_alt2","beach_25_alt2","beach_50_alt2","beach_75_alt2","beach_90_alt2","coastal_5_alt2","coastal_10_alt2","coastal_15_alt2","coastal_20_alt2","intl_3_alt2","intl_5_alt2","intl_10_alt2","intl_15_alt2","foreign_5_alt2","foreign_10_alt2","foreign_15_alt2","foreign_20_alt2","csplit_50home_alt2","csplit_75home_alt2","cost_alt3","beach_25_alt3","beach_50_alt3","beach_75_alt3","beach_90_alt3","coastal_5_alt3","coastal_10_alt3","coastal_15_alt3","coastal_20_alt3","intl_3_alt3","intl_5_alt3","intl_10_alt3","intl_15_alt3","foreign_5_alt3","foreign_10_alt3","foreign_15_alt3","foreign_20_alt3","csplit_50home_alt3","csplit_75home_alt3","gender1","education1","income_num","household","hhchildren","environorg","sector_fishprocess","sector_renewable","sector_oilgas","sector_marine_other","sector_no_marine","yourbeachplastic","intlplasticexperience","usavisit"
"106",22,1,2,469.966306873789,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,71.5166119155766,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,4,0,2,0,0,0,0,1,2,1,2
"107",22,2,2,469.966306873789,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,71.5166119155766,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,4,0,2,0,0,0,0,1,2,1,2
"108",22,3,1,71.5166119155766,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,122.599906140988,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,4,0,2,0,0,0,0,1,2,1,2
"109",22,4,3,122.599906140988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,122.599906140988,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,4,0,2,0,0,0,0,1,2,1,2
"110",22,5,3,122.599906140988,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,122.599906140988,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,4,0,2,0,0,0,0,1,2,1,2
"121",25,1,1,71.5166119155766,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,122.599906140988,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,60000.5,2,0,2,0,0,0,0,1,1,4,2
"122",25,2,1,122.599906140988,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,306.499765352471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,60000.5,2,0,2,0,0,0,0,1,1,4,2
"123",25,3,3,469.966306873789,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,153.249882676235,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,60000.5,2,0,2,0,0,0,0,1,1,4,2
"124",25,4,3,469.966306873789,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,306.499765352471,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,60000.5,2,0,2,0,0,0,0,1,1,4,2
"125",25,5,3,306.499765352471,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,153.249882676235,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,60000.5,2,0,2,0,0,0,0,1,1,4,2
"156",32,1,1,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12500,2,1,2,0,0,1,0,0,3,2,1
"157",32,2,2,122.599906140988,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,153.249882676235,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12500,2,1,2,0,0,1,0,0,3,2,1
"158",32,3,3,306.499765352471,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,122.599906140988,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12500,2,1,2,0,0,1,0,0,3,2,1
"159",32,4,2,306.499765352471,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,71.5166119155766,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12500,2,1,2,0,0,1,0,0,3,2,1
"160",32,5,3,71.5166119155766,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,469.966306873789,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12500,2,1,2,0,0,1,0,0,3,2,1
"166",34,1,1,153.249882676235,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,71.5166119155766,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,60000.5,1,0,2,0,0,0,0,1,5,1,2
"167",34,2,1,153.249882676235,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,306.499765352471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,60000.5,1,0,2,0,0,0,0,1,5,1,2
"168",34,3,1,71.5166119155766,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,122.599906140988,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,60000.5,1,0,2,0,0,0,0,1,5,1,2
"169",34,4,1,153.249882676235,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,469.966306873789,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,60000.5,1,0,2,0,0,0,0,1,5,1,2
"170",34,5,2,71.5166119155766,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,122.599906140988,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,60000.5,1,0,2,0,0,0,0,1,5,1,2
"181",37,1,3,153.249882676235,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,469.966306873789,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,1,0,2,0,0,0,0,1,1,1,2
"182",37,2,3,306.499765352471,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,153.249882676235,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,1,0,2,0,0,0,0,1,1,1,2
"183",37,3,2,122.599906140988,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,71.5166119155766,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,1,0,2,0,0,0,0,1,1,1,2
"184",37,4,3,153.249882676235,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,469.966306873789,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,1,0,2,0,0,0,0,1,1,1,2
"185",37,5,3,122.599906140988,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,122.599906140988,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,1,0,2,0,0,0,0,1,1,1,2
"191",39,1,1,122.599906140988,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,469.966306873789,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25000.5,2,2,1,0,0,0,0,1,1,1,1
"192",39,2,1,71.5166119155766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,306.499765352471,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25000.5,2,2,1,0,0,0,0,1,1,1,1
"193",39,3,1,122.599906140988,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,153.249882676235,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25000.5,2,2,1,0,0,0,0,1,1,1,1
"194",39,4,2,153.249882676235,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,71.5166119155766,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25000.5,2,2,1,0,0,0,0,1,1,1,1
"195",39,5,2,306.499765352471,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,153.249882676235,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25000.5,2,2,1,0,0,0,0,1,1,1,1
"211",43,1,3,469.966306873789,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,469.966306873789,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"212",43,2,3,306.499765352471,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,469.966306873789,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"213",43,3,3,469.966306873789,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"214",43,4,3,306.499765352471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,469.966306873789,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"215",43,5,3,153.249882676235,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25000.5,2,0,2,0,0,0,0,1,1,1,2
"231",48,1,2,469.966306873789,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,469.966306873789,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16250.5,3,0,2,0,0,0,0,1,1,1,2
"232",48,2,3,306.499765352471,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,469.966306873789,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16250.5,3,0,2,0,0,0,0,1,1,1,2
"233",48,3,2,469.966306873789,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16250.5,3,0,2,0,0,0,0,1,1,1,2
"234",48,4,1,306.499765352471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,469.966306873789,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16250.5,3,0,2,0,0,0,0,1,1,1,2
"235",48,5,1,153.249882676235,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,306.499765352471,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16250.5,3,0,2,0,0,0,0,1,1,1,2
"241",50,1,1,153.249882676235,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,469.966306873789,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,2,1,0,0,1,0,0,4,1,2
"242",50,2,2,306.499765352471,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,153.249882676235,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,2,1,0,0,1,0,0,4,1,2
"243",50,3,2,122.599906140988,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,71.5166119155766,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,2,1,0,0,1,0,0,4,1,2
"244",50,4,1,153.249882676235,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,469.966306873789,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,2,1,0,0,1,0,0,4,1,2
"245",50,5,1,122.599906140988,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,122.599906140988,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16250.5,2,2,1,0,0,1,0,0,4,1,2
"246",51,1,3,71.5166119155766,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,122.599906140988,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,2,0,2,0,0,0,0,1,1,3,2
"247",51,2,3,122.599906140988,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,306.499765352471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,2,0,2,0,0,0,0,1,1,3,2
"248",51,3,3,469.966306873789,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,153.249882676235,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,2,0,2,0,0,0,0,1,1,3,2
"249",51,4,3,469.966306873789,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,306.499765352471,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,2,0,2,0,0,0,0,1,1,3,2
"250",51,5,3,306.499765352471,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,153.249882676235,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12500,2,0,2,0,0,0,0,1,1,3,2
"251",52,1,3,71.5166119155766,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306.499765352471,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,3,1,2
"252",52,2,1,71.5166119155766,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,71.5166119155766,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,3,1,2
"253",52,3,1,469.966306873789,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,469.966306873789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,3,1,2
"254",52,4,2,306.499765352471,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,306.499765352471,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,3,1,2
"255",52,5,2,153.249882676235,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,469.966306873789,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,3,1,2
"261",54,1,3,306.499765352471,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,306.499765352471,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,1,3,2
"262",54,2,3,122.599906140988,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,153.249882676235,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,1,3,2
"263",54,3,3,306.499765352471,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,122.599906140988,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,1,3,2
"264",54,4,3,306.499765352471,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,71.5166119155766,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,1,3,2
"265",54,5,1,71.5166119155766,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,469.966306873789,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25000.5,2,0,2,0,0,0,0,1,1,3,2
"291",60,1,1,469.966306873789,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,71.5166119155766,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,60000.5,2,1,1,1,0,1,0,0,3,2,1
"292",60,2,2,71.5166119155766,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,71.5166119155766,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,60000.5,2,1,1,1,0,1,0,0,3,2,1
"293",60,3,3,122.599906140988,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,122.599906140988,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,60000.5,2,1,1,1,0,1,0,0,3,2,1
"294",60,4,2,469.966306873789,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,153.249882676235,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,60000.5,2,1,1,1,0,1,0,0,3,2,1
"295",60,5,1,71.5166119155766,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,306.499765352471,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,60000.5,2,1,1,1,0,1,0,0,3,2,1
"306",63,1,1,71.5166119155766,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306.499765352471,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,2,0,1,0,0,0,0,1,1,1,2
"307",63,2,1,71.5166119155766,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,71.5166119155766,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16250.5,2,0,1,0,0,0,0,1,1,1,2
